  0%|          | 0/3602 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 1.4316, 'grad_norm': 3.0478136739013095, 'learning_rate': 9.996085365155483e-06, 'epoch': 0.09}
{'loss': 1.449, 'grad_norm': 3.140345018494377, 'learning_rate': 9.995905429751768e-06, 'epoch': 0.09}
{'loss': 1.4162, 'grad_norm': 2.7930016521667564, 'learning_rate': 9.995721453088412e-06, 'epoch': 0.09}
{'loss': 1.4077, 'grad_norm': 3.2579465468055737, 'learning_rate': 9.995533435314238e-06, 'epoch': 0.09}
{'loss': 1.4396, 'grad_norm': 3.0700446565928874, 'learning_rate': 9.995341376581336e-06, 'epoch': 0.09}
{'loss': 1.3197, 'grad_norm': 2.9047446923697637, 'learning_rate': 9.995145277045061e-06, 'epoch': 0.09}
{'loss': 1.4448, 'grad_norm': 3.196600639330613, 'learning_rate': 9.994945136864047e-06, 'epoch': 0.09}
{'loss': 1.3342, 'grad_norm': 2.9651226960312838, 'learning_rate': 9.994740956200187e-06, 'epoch': 0.09}
{'loss': 1.3676, 'grad_norm': 2.7067201706400823, 'learning_rate': 9.994532735218647e-06, 'epoch': 0.09}
{'loss': 1.3868, 'grad_norm': 3.4068832094820487, 'learning_rate': 9.994320474087857e-06, 'epoch': 0.09}
{'loss': 1.3731, 'grad_norm': 3.2490489606000867, 'learning_rate': 9.994104172979523e-06, 'epoch': 0.09}
{'loss': 1.4304, 'grad_norm': 2.818877935127538, 'learning_rate': 9.993883832068607e-06, 'epoch': 0.09}
{'loss': 1.3489, 'grad_norm': 3.1282427790539242, 'learning_rate': 9.993659451533352e-06, 'epoch': 0.09}
{'loss': 1.3518, 'grad_norm': 3.1767541778982538, 'learning_rate': 9.99343103155526e-06, 'epoch': 0.09}
{'loss': 1.2872, 'grad_norm': 2.860674211063596, 'learning_rate': 9.993198572319106e-06, 'epoch': 0.09}
{'loss': 1.3598, 'grad_norm': 3.2805339627418375, 'learning_rate': 9.992962074012926e-06, 'epoch': 0.09}
{'loss': 1.4099, 'grad_norm': 2.991066524182034, 'learning_rate': 9.99272153682803e-06, 'epoch': 0.09}
{'loss': 1.4164, 'grad_norm': 2.992501163893708, 'learning_rate': 9.992476960958988e-06, 'epoch': 0.09}
{'loss': 1.4698, 'grad_norm': 2.8686533848035305, 'learning_rate': 9.992228346603645e-06, 'epoch': 0.1}
{'loss': 1.3937, 'grad_norm': 3.413823726200072, 'learning_rate': 9.991975693963108e-06, 'epoch': 0.1}
{'loss': 1.3492, 'grad_norm': 2.739269563584042, 'learning_rate': 9.991719003241747e-06, 'epoch': 0.1}
{'loss': 1.379, 'grad_norm': 2.947704241763563, 'learning_rate': 9.991458274647209e-06, 'epoch': 0.1}
{'loss': 1.3929, 'grad_norm': 3.4315982890171273, 'learning_rate': 9.991193508390397e-06, 'epoch': 0.1}
{'loss': 1.3691, 'grad_norm': 3.008568087725287, 'learning_rate': 9.990924704685486e-06, 'epoch': 0.1}
{'loss': 1.2848, 'grad_norm': 3.2693576476659136, 'learning_rate': 9.990651863749915e-06, 'epoch': 0.1}
{'loss': 1.3779, 'grad_norm': 2.8522044086452873, 'learning_rate': 9.990374985804389e-06, 'epoch': 0.1}
{'loss': 1.3589, 'grad_norm': 3.771544308573357, 'learning_rate': 9.990094071072878e-06, 'epoch': 0.1}
{'loss': 1.4109, 'grad_norm': 2.824860936739863, 'learning_rate': 9.989809119782617e-06, 'epoch': 0.1}
{'loss': 1.3565, 'grad_norm': 2.9181251212460055, 'learning_rate': 9.98952013216411e-06, 'epoch': 0.1}
{'loss': 1.3203, 'grad_norm': 2.7968782537603363, 'learning_rate': 9.98922710845112e-06, 'epoch': 0.1}
{'loss': 1.3398, 'grad_norm': 3.2205570294449664, 'learning_rate': 9.988930048880681e-06, 'epoch': 0.1}
{'loss': 1.4143, 'grad_norm': 2.8313074190503853, 'learning_rate': 9.988628953693087e-06, 'epoch': 0.1}
{'loss': 1.3112, 'grad_norm': 2.737259356275009, 'learning_rate': 9.988323823131899e-06, 'epoch': 0.1}
{'loss': 1.393, 'grad_norm': 2.738259495565135, 'learning_rate': 9.988014657443941e-06, 'epoch': 0.1}
{'loss': 1.3635, 'grad_norm': 2.8145475514086318, 'learning_rate': 9.987701456879301e-06, 'epoch': 0.1}
{'loss': 1.4417, 'grad_norm': 2.873193644892913, 'learning_rate': 9.987384221691333e-06, 'epoch': 0.1}
{'loss': 1.3099, 'grad_norm': 2.9151235477754276, 'learning_rate': 9.987062952136652e-06, 'epoch': 0.11}
{'loss': 1.2811, 'grad_norm': 3.0447356140011608, 'learning_rate': 9.986737648475136e-06, 'epoch': 0.11}
{'loss': 1.4246, 'grad_norm': 3.0320877490688702, 'learning_rate': 9.986408310969932e-06, 'epoch': 0.11}
{'loss': 1.2666, 'grad_norm': 2.9482115786112715, 'learning_rate': 9.986074939887443e-06, 'epoch': 0.11}
{'loss': 1.3916, 'grad_norm': 3.329453750559757, 'learning_rate': 9.985737535497337e-06, 'epoch': 0.11}
{'loss': 1.3616, 'grad_norm': 2.896498367782448, 'learning_rate': 9.985396098072548e-06, 'epoch': 0.11}
{'loss': 1.2796, 'grad_norm': 3.0181565927871796, 'learning_rate': 9.985050627889268e-06, 'epoch': 0.11}
{'loss': 1.2707, 'grad_norm': 2.9494865318914036, 'learning_rate': 9.98470112522695e-06, 'epoch': 0.11}
{'loss': 1.3584, 'grad_norm': 2.9760386067966254, 'learning_rate': 9.984347590368317e-06, 'epoch': 0.11}
{'loss': 1.3746, 'grad_norm': 3.0549689795062265, 'learning_rate': 9.983990023599346e-06, 'epoch': 0.11}
{'loss': 1.3609, 'grad_norm': 2.998887302416213, 'learning_rate': 9.983628425209278e-06, 'epoch': 0.11}
{'loss': 1.3408, 'grad_norm': 2.818715768596509, 'learning_rate': 9.983262795490614e-06, 'epoch': 0.11}
{'loss': 1.3461, 'grad_norm': 3.137664200398941, 'learning_rate': 9.982893134739118e-06, 'epoch': 0.11}
{'loss': 1.316, 'grad_norm': 3.0323522305992845, 'learning_rate': 9.982519443253813e-06, 'epoch': 0.11}
{'loss': 1.3547, 'grad_norm': 3.1283801869368517, 'learning_rate': 9.982141721336986e-06, 'epoch': 0.11}
{'loss': 1.2785, 'grad_norm': 3.0842951137903762, 'learning_rate': 9.98175996929418e-06, 'epoch': 0.11}
{'loss': 1.2627, 'grad_norm': 2.9836229237259793, 'learning_rate': 9.981374187434201e-06, 'epoch': 0.11}
{'loss': 1.2982, 'grad_norm': 3.1301476648948263, 'learning_rate': 9.98098437606911e-06, 'epoch': 0.11}
{'loss': 1.3162, 'grad_norm': 2.96604845518796, 'learning_rate': 9.980590535514234e-06, 'epoch': 0.12}
{'loss': 1.3818, 'grad_norm': 3.016072648427652, 'learning_rate': 9.980192666088156e-06, 'epoch': 0.12}
{'loss': 1.2639, 'grad_norm': 3.114270440285587, 'learning_rate': 9.979790768112719e-06, 'epoch': 0.12}
{'loss': 1.379, 'grad_norm': 3.325504814244425, 'learning_rate': 9.97938484191302e-06, 'epoch': 0.12}
{'loss': 1.2732, 'grad_norm': 2.6201850511688063, 'learning_rate': 9.978974887817424e-06, 'epoch': 0.12}
{'loss': 1.3704, 'grad_norm': 2.8727737314165087, 'learning_rate': 9.978560906157545e-06, 'epoch': 0.12}
{'loss': 1.4652, 'grad_norm': 3.0484819014472375, 'learning_rate': 9.978142897268257e-06, 'epoch': 0.12}
{'loss': 1.2984, 'grad_norm': 3.331454260183252, 'learning_rate': 9.9777208614877e-06, 'epoch': 0.12}
{'loss': 1.3858, 'grad_norm': 2.8392903115721975, 'learning_rate': 9.97729479915726e-06, 'epoch': 0.12}
